Problem,Sentiment,Aspect
ปั๊มน้ำที่สั่งไปเสียตั้งแต่วันแรกเลยค่ะ ช่วยส่งอะไหล่เปลี่ยนให้หน่อยได้ไหมคะ,Negative,"คุณภาพผลิตภัณฑ์, บริการหลังการขาย"
เครื่องตัดหญ้าที่ซื้อไปใบมีดบิ่นง่ายมาก ควรจะแข็งแรงกว่านี้,Negative,คุณภาพผลิตภัณฑ์
สอบถามวิธีการใช้งานปุ๋ยสูตรใหม่ที่เพิ่งซื้อไปค่ะ,Neutral,"การให้คำแนะนำ, ข้อมูลผลิตภัณฑ์"
สั่งซื้ออะไหล่ไปนานแล้ว ยังไม่ได้รับของเลยค่ะ ติดตามให้หน่อยได้ไหมคะ,Negative,"การจัดส่ง, บริการลูกค้า"
เครื่องฉีดพ่นยาเสียกลางคัน ทำให้พืชผลเสียหายเยอะเลยค่ะ ช่วยดูแลเรื่องนี้ให้หน่อย,Negative,"คุณภาพผลิตภัณฑ์, การรับประกัน"
สอบถามเกี่ยวกับการติดตั้งระบบสปริงเกอร์ค่ะ ควรจะเลือกใช้แบบไหนดี,Neutral,การให้คำแนะนำผลิตภัณฑ์
เมล็ดพันธุ์ที่สั่งไปไม่งอกเลยค่ะ เสียเงินฟรีเลย,Negative,คุณภาพผลิตภัณฑ์
เครื่องยนต์รถไถเสียบ่อยมาก ช่างมาซ่อมแล้วก็ยังไม่หาย,Negative,"บริการหลังการขาย, คุณภาพผลิตภัณฑ์"
สอบถามเกี่ยวกับการใช้ปุ๋ยอินทรีย์ให้ได้ผลดีที่สุดครับ,Neutral,"การให้คำแนะนำ, ข้อมูลผลิตภัณฑ์"
เครื่องตัดหญ้ามีเสียงดังผิดปกติ ควรจะแก้ไขอย่างไรดี,Negative,"คุณภาพผลิตภัณฑ์, บริการหลังการขาย"
สั่งซื้อสินค้าไปหลายรายการ แต่ได้รับไม่ครบ,Negative,"การจัดส่ง, บริการลูกค้า"
อยากสอบถามเกี่ยวกับการเลือกปุ๋ยที่เหมาะสมกับพืชชนิดต่างๆ ค่ะ,Neutral,"การให้คำแนะนำ, ข้อมูลผลิตภัณฑ์"
เครื่องสูบน้ำไม่ดูดน้ำเลยค่ะ ไม่ทราบว่าเกิดจากอะไร,Negative,"คุณภาพผลิตภัณฑ์, บริการหลังการขาย"
สอบถามเกี่ยวกับการติดตั้งโรงเรือนเพาะปลูกค่ะ ควรจะเลือกวัสดุอะไรดี,Neutral,"การให้คำแนะนำ, ผลิตภัณฑ์"
เมล็ดพันธุ์ที่ได้รับมาคุณภาพไม่ดีเลยค่ะ ต้นกล้าตายหมด,Negative,คุณภาพผลิตภัณฑ์
เครื่องยนต์รถไถมีปัญหาเรื่องความร้อนสูง ควรจะแก้ไขอย่างไรดี,Negative,"บริการหลังการขาย, คุณภาพผลิตภัณฑ์"
สอบถามเกี่ยวกับการใช้ปุ๋ยชีวภาพให้ได้ผลดีที่สุดค่ะ,Neutral,"การให้คำแนะนำ, ข้อมูลผลิตภัณฑ์"
เครื่องตัดหญ้ามีปัญหาเรื่องใบมีดติดขัด ควรจะแก้ไขอย่างไรดี,Negative,"คุณภาพผลิตภัณฑ์, บริการหลังการขาย"
เครื่องตัดหญ้าสตาร์ทไม่ติดเลยค่ะ ช่วยแนะนำหน่อยได้ไหมคะ,Negative,"บริการหลังการขาย, คุณภาพผลิตภัณฑ์"
ปั๊มน้ำดูดน้ำได้ไม่แรงเท่าที่ควรค่ะ ควรจะปรับแต่งอย่างไรดี,Negative,"คุณภาพผลิตภัณฑ์, บริการหลังการขาย"
สอบถามเกี่ยวกับการเลือกซื้อปุ๋ยสำหรับพืชผักไร้ดินปลูกค่ะ,Neutral,"การให้คำแนะนำ, ข้อมูลผลิตภัณฑ์"
เครื่องฉีดพ่นยาอุดตันบ่อยมากค่ะ ช่วยแนะนำวิธีแก้ไขหน่อยได้ไหมคะ,Negative,"คุณภาพผลิตภัณฑ์, บริการหลังการขาย"
สั่งซื้ออะไหล่ไปแล้ว 2 สัปดาห์ ยังไม่ได้รับของเลยค่ะ ติดตามให้หน่อยนะคะ,Negative,"การจัดส่ง, บริการลูกค้า"
สอบถามเกี่ยวกับการติดตั้งระบบน้ำหยดค่ะ ควรจะเลือกใช้หัวฉีดแบบไหนดี,Neutral,"การให้คำแนะนำ, ผลิตภัณฑ์"
เมล็ดพันธุ์ที่ได้รับมาไม่ตรงกับสายพันธุ์ที่สั่งค่ะ,Negative,"คุณภาพผลิตภัณฑ์, การจัดส่ง"
เครื่องยนต์รถไถเดินเบาไม่นิ่งเลยค่ะ ช่างมาซ่อมแล้วก็ยังไม่หาย,Negative,"บริการหลังการขาย, คุณภาพผลิตภัณฑ์"
สอบถามเกี่ยวกับการใช้ปุ๋ยหมักให้ได้ผลดีที่สุดค่ะ,Neutral,"การให้คำแนะนำ, ข้อมูลผลิตภัณฑ์"
เครื่องตัดหญ้าใบมีดสึกหรอเร็วมาก ควรจะเปลี่ยนใบมีดบ่อยแค่ไหน,Neutral,"การบำรุงรักษา, ข้อมูลผลิตภัณฑ์"
สั่งซื้อสินค้าไปหลายรายการ แต่ราคาที่จ่ายไม่ตรงกับใบเสร็จค่ะ,Negative,"การจัดส่ง, บริการลูกค้า"
อยากสอบถามเกี่ยวกับการเลือกซื้อเครื่องตัดหญ้าที่เหมาะสมกับพื้นที่บ้านค่ะ,Neutral,"การให้คำแนะนำ, ผลิตภัณฑ์"
เครื่องสูบน้ำรั่วซึมค่ะ ไม่ทราบว่าจะซ่อมเองได้ไหม,Neutral,"บริการหลังการขาย, ข้อมูลผลิตภัณฑ์"
สอบถามเกี่ยวกับการติดตั้งระบบไฟส่องสว่างในโรงเรือนเพาะปลูกค่ะ,Neutral,"การให้คำแนะนำ, ผลิตภัณฑ์"
เมล็ดพันธุ์ที่ได้รับมางอกไม่ทั่วถึงเลยค่ะ,Negative,คุณภาพผลิตภัณฑ์
เครื่องยนต์รถไถมีควันดำออกมาเยอะมาก ควรจะแก้ไขอย่างไรดี,Negative,"บริการหลังการขาย, คุณภาพผลิตภัณฑ์"
สอบถามเกี่ยวกับการใช้ปุ๋ยเคมีให้ได้ผลดีโดยไม่ทำลายดินค่ะ,Neutral,"การให้คำแนะนำ, ข้อมูลผลิตภัณฑ์"
เครื่องตัดหญ้ามีปัญหาเรื่องสายพานขาดบ่อยค่ะ ควรจะเปลี่ยนสายพานบ่อยแค่ไหน,Neutral,"การบำรุงรักษา, ข้อมูลผลิตภัณฑ์"
สั่งซื้อสินค้าไปแล้วแต่ยังไม่ได้รับอีเมลยืนยันการสั่งซื้อครับ,Negative,บริการลูกค้า
