text_number,word_count,file_size,time_taken,provider,model,text
1,6,0.01922607421875,0.605658769607544,google,tts,คุณชอบทานอาหารประเภทไหน?
2,10,0.03021240234375,0.10315918922424316,google,tts,คุณคิดว่าในอนาคตเทคโนโลยีจะพัฒนาไปอย่างไร?
3,15,0.041748046875,0.17656540870666504,google,tts,คุณเห็นว่าการศึกษาควรมีการเปลี่ยนแปลงอย่างไรเพื่อให้ทันกับโลกในปัจจุบัน?
4,12,0.024169921875,0.07435941696166992,google,tts,อะไรคือสิ่งที่คุณอยากทำมากที่สุดในชีวิต?
5,10,0.03021240234375,0.07354044914245605,google,tts,คุณมีความคิดอย่างไรเกี่ยวกับการทำงานจากที่บ้าน?
6,10,0.03900146484375,0.07599997520446777,google,tts,คุณคิดว่าการเปลี่ยนแปลงสภาพภูมิอากาศเป็นปัญหาที่สำคัญอย่างไร?
7,6,0.01904296875,0.1270008087158203,google,tts,คุณชอบอ่านหนังสือประเภทไหน?
8,10,0.02911376953125,0.1440436840057373,google,tts,มีประสบการณ์ไหนที่คุณรู้สึกภูมิใจในชีวิตบ้าง?
9,12,0.02838134765625,0.07499909400939941,google,tts,คุณคิดว่าอะไรคือปัญหาหลักของสังคมในปัจจุบัน?
10,9,0.03076171875,0.08197760581970215,google,tts,คุณเคยมีประสบการณ์ที่ทำให้คุณเปลี่ยนแปลงความคิดหรือไม่?
11,6,0.01922607421875,0.06211280822753906,google,tts,คุณชอบทานอาหารประเภทไหน?
12,10,0.03021240234375,0.14310002326965332,google,tts,คุณคิดว่าในอนาคตเทคโนโลยีจะพัฒนาไปอย่างไร?
13,15,0.041748046875,0.16610074043273926,google,tts,คุณเห็นว่าการศึกษาควรมีการเปลี่ยนแปลงอย่างไรเพื่อให้ทันกับโลกในปัจจุบัน?
14,12,0.024169921875,0.15169620513916016,google,tts,อะไรคือสิ่งที่คุณอยากทำมากที่สุดในชีวิต?
15,10,0.03021240234375,0.07911419868469238,google,tts,คุณมีความคิดอย่างไรเกี่ยวกับการทำงานจากที่บ้าน?
16,10,0.03900146484375,0.07028937339782715,google,tts,คุณคิดว่าการเปลี่ยนแปลงสภาพภูมิอากาศเป็นปัญหาที่สำคัญอย่างไร?
